Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K48,Aląska,+247.60%,+236.10%,+260.60%,+40.00%,-2.50%,+300.00%,+156.24%,+697.20%,+1085.49%,+1232.20%,+142.75%,-140.25%,+118.00%,+236.00%,+1923.80%,+1153.00%,+1033.20%,+128.40%,-124.75%,+175.00%,+103.00%,+1587.75%,+1161.00%,+946.85%,+51.75%,-49.25%,+319.00%,+153.00%,+1330.60%,+414.50%,+802.50%,+124.90%,-116.50%,+98.00%,+53.00%,+17.50%
K48,RogueDamage,+304.60%,+280.10%,+297.10%,+40.00%,-40.00%,+538.76%,+93.72%,+854.20%,+1363.49%,+1471.20%,+47.25%,-58.25%,+134.00%,+291.00%,+2276.05%,+1604.50%,+1180.20%,+151.25%,-136.50%,+312.00%,+217.00%,+1531.50%,+960.00%,+791.35%,+126.25%,-136.75%,+257.00%,+192.00%,+1641.85%,+399.50%,+1043.50%,+47.50%,-25.00%,+186.00%,+145.00%,+22.00%
K48,Sesshōmaru,+307.10%,+238.70%,+264.60%,+41.50%,-41.50%,+542.44%,+68.44%,+870.20%,+864.92%,+1511.62%,+49.00%,-61.50%,+122.00%,+504.00%,+2160.55%,+1688.70%,+971.35%,+156.50%,-134.75%,+348.00%,+250.00%,+1278.20%,+643.70%,+955.20%,+152.50%,-126.75%,+369.00%,+245.00%,+1104.50%,+423.50%,+828.50%,+52.50%,-39.00%,+133.00%,+86.00%,+20.00%
K48,loolka,+285.60%,+241.60%,+277.60%,+40.00%,-40.00%,+210.88%,+162.52%,+752.20%,+924.92%,+1533.62%,+134.75%,-130.25%,+145.00%,+249.00%,+2004.05%,+1488.20%,+808.85%,+144.00%,-122.50%,+211.00%,+155.00%,+1180.70%,+761.20%,+1042.70%,+138.25%,-126.75%,+245.00%,+167.00%,+862.00%,+429.50%,+850.50%,+89.00%,-73.50%,+112.00%,+63.00%,+20.00%
K48,JSc,+311.10%,+233.60%,+271.10%,+41.50%,-8.50%,+552.00%,+126.00%,+663.20%,+909.07%,+1238.62%,+49.40%,-64.40%,+95.00%,+403.00%,+2151.55%,+1307.20%,+768.50%,+154.25%,-128.75%,+234.00%,+93.00%,+1960.50%,+1272.00%,+1196.20%,+162.75%,-142.75%,+420.00%,+304.00%,+1295.50%,+398.00%,+924.00%,+138.50%,-112.50%,+141.00%,+73.00%,+22.50%
K48,G♡LEM™,+274.60%,+243.60%,+275.10%,+41.50%,-41.50%,+332.72%,+76.12%,+827.50%,+1189.07%,+1489.92%,+142.75%,-154.50%,+94.00%,+299.00%,+1973.70%,+1506.20%,+778.50%,+138.25%,-136.75%,+191.00%,+87.00%,+1729.00%,+1304.50%,+1109.85%,+156.50%,-144.75%,+290.00%,+202.00%,+1197.00%,+365.50%,+796.50%,+41.00%,-41.00%,+77.00%,+62.00%,+21.50%
K48,RoguePops,+318.60%,+280.10%,+284.10%,+40.00%,-40.00%,+501.60%,+45.42%,+1134.20%,+1439.49%,+1546.20%,+77.95%,-88.95%,+142.00%,+266.00%,+2119.55%,+1511.50%,+855.20%,+143.25%,-130.75%,+132.00%,+73.00%,+1502.50%,+977.00%,+742.35%,+136.00%,-134.50%,+316.00%,+217.00%,+1522.85%,+406.50%,+967.50%,+60.30%,-46.80%,+84.00%,+63.00%,+22.00%
K48,Slawek,+388.10%,+290.60%,+330.60%,+41.50%,-8.50%,+601.00%,+126.00%,+946.20%,+1106.92%,+1583.62%,+55.25%,-61.25%,+151.00%,+423.00%,+2352.05%,+1776.70%,+1081.35%,+150.25%,-134.75%,+256.00%,+214.00%,+1306.20%,+831.05%,+927.35%,+156.50%,-143.00%,+289.00%,+151.00%,+1255.50%,+497.50%,+1094.50%,+142.00%,-128.50%,+159.00%,+113.00%,+24.50%
K48,Sherzod,+270.10%,+230.10%,+280.60%,+41.50%,-41.50%,+540.52%,+123.84%,+926.20%,+1159.49%,+1170.20%,+142.75%,-152.25%,+134.00%,+314.00%,+2121.55%,+1397.00%,+966.70%,+152.25%,-136.75%,+136.00%,+98.00%,+1614.50%,+1039.00%,+769.85%,+150.25%,-144.75%,+273.00%,+155.00%,+1470.85%,+346.50%,+909.50%,+51.00%,-45.00%,+97.00%,+73.00%,+22.50%
K48,epfle,+266.10%,+190.10%,+254.60%,+41.50%,-4.00%,+499.40%,+67.24%,+787.20%,+1024.49%,+1067.20%,+134.75%,-152.25%,+106.00%,+353.00%,+2027.55%,+1108.50%,+944.20%,+146.75%,-134.75%,+151.00%,+98.00%,+1846.50%,+1246.00%,+981.35%,+153.25%,-144.75%,+215.00%,+124.00%,+1348.35%,+335.50%,+838.00%,+133.00%,-132.50%,+106.00%,+78.00%,+22.50%
